id	set	colony	trophobiont	host	time	status
10	rep9	LF_A	aphid_egg	Lasius_flavus	60	1
1	rep10	LF_A	aphid_egg	Lasius_flavus	5	1
2	rep10	LF_A	aphid_egg	Lasius_flavus	5	1
3	rep10	LF_A	aphid_egg	Lasius_flavus	5	1
4	rep10	LF_A	aphid_egg	Lasius_flavus	10	1
5	rep10	LF_A	aphid_egg	Lasius_flavus	15	1
6	rep10	LF_A	aphid_egg	Lasius_flavus	15	1
7	rep10	LF_A	aphid_egg	Lasius_flavus	20	1
8	rep10	LF_A	aphid_egg	Lasius_flavus	20	1
9	rep10	LF_A	aphid_egg	Lasius_flavus	20	1
10	rep10	LF_A	aphid_egg	Lasius_flavus	30	1
1	rep11	LF_A	aphid_egg	Lasius_flavus	15	1
2	rep11	LF_A	aphid_egg	Lasius_flavus	15	1
3	rep11	LF_A	aphid_egg	Lasius_flavus	120	1
4	rep11	LF_A	aphid_egg	Lasius_flavus	120	1
5	rep11	LF_A	aphid_egg	Lasius_flavus	120	0
6	rep11	LF_A	aphid_egg	Lasius_flavus	120	0
7	rep11	LF_A	aphid_egg	Lasius_flavus	120	0
8	rep11	LF_A	aphid_egg	Lasius_flavus	120	0
9	rep11	LF_A	aphid_egg	Lasius_flavus	120	0
10	rep11	LF_A	aphid_egg	Lasius_flavus	120	0
1	rep12	LF_A	aphid_egg	Lasius_flavus	10	1
2	rep12	LF_A	aphid_egg	Lasius_flavus	15	1
3	rep12	LF_A	aphid_egg	Lasius_flavus	20	1
4	rep12	LF_A	aphid_egg	Lasius_flavus	20	1
5	rep12	LF_A	aphid_egg	Lasius_flavus	20	1
6	rep12	LF_A	aphid_egg	Lasius_flavus	30	1
7	rep12	LF_A	aphid_egg	Lasius_flavus	60	1
8	rep12	LF_A	aphid_egg	Lasius_flavus	120	1
9	rep12	LF_A	aphid_egg	Lasius_flavus	120	1
10	rep12	LF_A	aphid_egg	Lasius_flavus	120	1
1	rep13	LF_A	aphid_egg	Lasius_flavus	5	1
2	rep13	LF_A	aphid_egg	Lasius_flavus	5	1
3	rep13	LF_A	aphid_egg	Lasius_flavus	10	1
4	rep13	LF_A	aphid_egg	Lasius_flavus	10	1
5	rep13	LF_A	aphid_egg	Lasius_flavus	10	1
6	rep13	LF_A	aphid_egg	Lasius_flavus	10	1
7	rep13	LF_A	aphid_egg	Lasius_flavus	10	1
8	rep13	LF_A	aphid_egg	Lasius_flavus	15	1
9	rep13	LF_A	aphid_egg	Lasius_flavus	15	1
10	rep13	LF_A	aphid_egg	Lasius_flavus	30	1
1	rep14	LF_A	aphid_egg	Lasius_flavus	5	1
2	rep14	LF_A	aphid_egg	Lasius_flavus	5	1
3	rep14	LF_A	aphid_egg	Lasius_flavus	5	1
4	rep14	LF_A	aphid_egg	Lasius_flavus	5	1
5	rep14	LF_A	aphid_egg	Lasius_flavus	10	1
6	rep14	LF_A	aphid_egg	Lasius_flavus	10	1
7	rep14	LF_A	aphid_egg	Lasius_flavus	15	1
8	rep14	LF_A	aphid_egg	Lasius_flavus	15	1
9	rep14	LF_A	aphid_egg	Lasius_flavus	20	1
10	rep14	LF_A	aphid_egg	Lasius_flavus	25	1
1	rep15	LF_A	aphid_egg	Lasius_flavus	5	1
2	rep15	LF_A	aphid_egg	Lasius_flavus	5	1
3	rep15	LF_A	aphid_egg	Lasius_flavus	5	1
4	rep15	LF_A	aphid_egg	Lasius_flavus	10	1
5	rep15	LF_A	aphid_egg	Lasius_flavus	10	1
6	rep15	LF_A	aphid_egg	Lasius_flavus	15	1
7	rep15	LF_A	aphid_egg	Lasius_flavus	15	1
8	rep15	LF_A	aphid_egg	Lasius_flavus	15	1
9	rep15	LF_A	aphid_egg	Lasius_flavus	20	1
10	rep15	LF_A	aphid_egg	Lasius_flavus	30	1
1	rep16	LF_A	aphid_egg	Lasius_flavus	5	1
2	rep16	LF_A	aphid_egg	Lasius_flavus	5	1
3	rep16	LF_A	aphid_egg	Lasius_flavus	20	1
4	rep16	LF_A	aphid_egg	Lasius_flavus	30	1
5	rep16	LF_A	aphid_egg	Lasius_flavus	60	1
6	rep16	LF_A	aphid_egg	Lasius_flavus	60	1
7	rep16	LF_A	aphid_egg	Lasius_flavus	60	1
8	rep16	LF_A	aphid_egg	Lasius_flavus	60	1
9	rep16	LF_A	aphid_egg	Lasius_flavus	60	1
10	rep16	LF_A	aphid_egg	Lasius_flavus	60	1
1	rep17	LF_A	aphid_egg	Lasius_flavus	5	1
2	rep17	LF_A	aphid_egg	Lasius_flavus	5	1
3	rep17	LF_A	aphid_egg	Lasius_flavus	10	1
4	rep17	LF_A	aphid_egg	Lasius_flavus	10	1
5	rep17	LF_A	aphid_egg	Lasius_flavus	10	1
6	rep17	LF_A	aphid_egg	Lasius_flavus	10	1
7	rep17	LF_A	aphid_egg	Lasius_flavus	10	1
8	rep17	LF_A	aphid_egg	Lasius_flavus	10	1
9	rep17	LF_A	aphid_egg	Lasius_flavus	25	1
10	rep17	LF_A	aphid_egg	Lasius_flavus	60	1
1	rep18	LF_A	aphid_egg	Lasius_flavus	10	1
2	rep18	LF_A	aphid_egg	Lasius_flavus	15	1
3	rep18	LF_A	aphid_egg	Lasius_flavus	25	1
4	rep18	LF_A	aphid_egg	Lasius_flavus	25	1
5	rep18	LF_A	aphid_egg	Lasius_flavus	25	1
6	rep18	LF_A	aphid_egg	Lasius_flavus	25	1
7	rep18	LF_A	aphid_egg	Lasius_flavus	25	1
8	rep18	LF_A	aphid_egg	Lasius_flavus	30	1
9	rep18	LF_A	aphid_egg	Lasius_flavus	30	1
10	rep18	LF_A	aphid_egg	Lasius_flavus	60	1
1	rep1	LF_A	ant_larva	Lasius_flavus	5	1
2	rep1	LF_A	ant_larva	Lasius_flavus	5	1
3	rep1	LF_A	ant_larva	Lasius_flavus	5	1
4	rep1	LF_A	ant_larva	Lasius_flavus	10	1
5	rep1	LF_A	ant_larva	Lasius_flavus	10	1
6	rep1	LF_A	ant_larva	Lasius_flavus	10	1
7	rep1	LF_A	ant_larva	Lasius_flavus	10	1
8	rep1	LF_A	ant_larva	Lasius_flavus	10	1
9	rep1	LF_A	ant_larva	Lasius_flavus	10	1
10	rep1	LF_A	ant_larva	Lasius_flavus	10	1
